Table,Abbreviation,Description,Module,Activity code,Column,Normal title,Dim.,Type,Length,Menu,Link expression,Cancellation,Act
SDELIVERYD,SDD,Delivery detail,Sales,,FOCFLG,Free,,M,10.0,439.0,,,
SDELIVERYD,SDD,Delivery detail,Sales,,GEOCOD,Geographic code,,GEO,,,,,KUS
SDELIVERYD,SDD,Delivery detail,Sales,,GROPRI,Gross price,,MD8,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,IMPNUMLIG,Import line,,L,8.0,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,INSCTYFLG,City interior flag,,A,1.0,,,,KUS
SDELIVERYD,SDD,Delivery detail,Sales,,INVPRNBOM,Print component on invoice,,M,4.0,1.0,,,
SDELIVERYD,SDD,Delivery detail,Sales,,ITMDES,Description,,DES,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,ITMDES1,Description,,DES,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,ITMREF,Product,,ITM,,,[ITM]ITM0=[SDD]ITMREF,Block,
SDELIVERYD,SDD,Delivery detail,Sales,,LINCFMFLG,Validated line,,M,4.0,1.0,,,
SDELIVERYD,SDD,Delivery detail,Sales,,LINTYP,Line type,,M,15.0,423.0,,,
SDELIVERYD,SDD,Delivery detail,Sales,,LOC,Location filter,,LOC,,,[STC]STC0=STOFCY;LOC,Other,
SDELIVERYD,SDD,Delivery detail,Sales,,LOT,Filter lot,,LOT,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,NDEPRNBOM,PS print component,,M,4.0,1.0,,,
SDELIVERYD,SDD,Delivery detail,Sales,,NETPRI,Net price,,MD8,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,NETPRIATI,Net price + tax,,MD8,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,NETPRINOT,Net price - tax,,MD8,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,OALQTYSTU,Order qty alloc. STU,,QTY,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,ORILIN,Free line source,,L,8.0,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,PACQTYSTU,Qty packed SAL,,QTY,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,PCK,Packaging,,PCK,,,[TPA]TPA0=[SDD]PCK,Block,
SDELIVERYD,SDD,Delivery detail,Sales,,PCKCAP,Packaging capacity,,COE,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,PCKFLG,Packing,,M,4.0,1.0,,,
SDELIVERYD,SDD,Delivery detail,Sales,,PFM,Margin,,MD1,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,PJT,Project,,PJT,,,[PIM]PIM0=[SDD]PJT,Block,
SDELIVERYD,SDD,Delivery detail,Sales,,PRELIN,Preparation line,,L,8.0,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,PRHNUM,Pick ticket,,VCR,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,PRIREN,Price reason,,SPR,,,[SPR]SPR0=[SDD]PRIREN,Block,
SDELIVERYD,SDD,Delivery detail,Sales,,PRPTEX,Picking ticket line text,,TXC,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,QTY,Delivered quantity,,QTY,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,QTYSTU,Delivered quantity STU,,QTY,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,RATTAXLIN,Tax rates,,RAT,,,,,KUS
SDELIVERYD,SDD,Delivery detail,Sales,,RCPFLG,Shipment inquiry,,C,1.0,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,RCPQTYSTU,Received STK,,QTY,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,REP1,Sales rep 1,,REP,,,[REP]REP0=[SDD]REP1,Block,RE1
SDELIVERYD,SDD,Delivery detail,Sales,,REP2,Sales rep 2,,REP,,,[REP]REP0=[SDD]REP2,Block,RE2
SDELIVERYD,SDD,Delivery detail,Sales,,REPCOE,Commission factor,,CCR,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,REPRAT1,Commission rate 1,,RAT,,,,,RE1
SDELIVERYD,SDD,Delivery detail,Sales,,REPRAT2,Commission rate 2,,RAT,,,,,RE2
SDELIVERYD,SDD,Delivery detail,Sales,,RTNQTY,Return quantity,,QTY,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,RTNQTYSTU,Return quantity STK,,QTY,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,SAU,Sales unit,,UOM,,,[TUN]TUN0=[SDD]SAU,Block,
SDELIVERYD,SDD,Delivery detail,Sales,,SAUSTUCOE,SAL-STK conv.,,COE,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,SDDLIN,Delivery line,,L,8.0,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,SDDTEX,Packing slip line text,,TXC,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,SDHCAT,Delivery category,,M,20.0,490.0,,,
SDELIVERYD,SDD,Delivery detail,Sales,,SDHNUM,Delivery no.,,VCR,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,SHIDAT,Shipment date,,D,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,SOHCAT,Order category,,M,15.0,412.0,,,
SDELIVERYD,SDD,Delivery detail,Sales,,SOHNUM,Order no.,,VCR,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,SOPLIN,Order line,,L,8.0,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,SOQSEQ,Sequence number,,L,8.0,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,SSTCOD,SST tax code,,ADI,,,[ADI]CODE=203;SSTCOD,Block,LTA
SDELIVERYD,SDD,Delivery detail,Sales,,STA,Filter status,,A,12.0,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,STOFCY,Shipment site,,FCY,,,[FCY]FCY0=[SDD]STOFCY,Block,
SDELIVERYD,SDD,Delivery detail,Sales,,STOMGTCOD,Stock management,,M,15.0,215.0,,,
SDELIVERYD,SDD,Delivery detail,Sales,,STU,Stock unit,,UOM,,,[TUN]TUN0=[SDD]STU,Block,
SDELIVERYD,SDD,Delivery detail,Sales,,TAXFLG,Taxable flag,,M,4.0,1.0,,,KUS
SDELIVERYD,SDD,Delivery detail,Sales,,TAXGEOFLG,Taxed geo flag,,A,1.0,,,,KUS
SDELIVERYD,SDD,Delivery detail,Sales,,TAXREGFLG,Recorded tax flag,,M,4.0,1.0,,,KUS
SDELIVERYD,SDD,Delivery detail,Sales,,TSICOD,Statistical group,,ADI,,,[ADI]CODE=indice+20;TSICOD(indice),Other,STI
SDELIVERYD,SDD,Delivery detail,Sales,,UNTWEI,Unit weight,,WEI,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,UPDDAT,Change date,,D,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,UPDDATTIM,Date time,,ADATIM,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,UPDUSR,Change user,,A,5.0,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,USEPLC,Location reference,,A,30.0,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,VACITM,Tax level,3.0,TVI,,,[TVI]TVI0=VACITM(indice);[V]GSUPCLE,Block,
SDELIVERYD,SDD,Delivery detail,Sales,,VAT,Tax,3.0,VAT,,,[TVT]TVT0=VAT(indice);[V]GSUPCLE,Block,
SDELIVERYD,SDD,Delivery detail,Sales,,VCRLINORI,Source document line,,L,8.0,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,VCRNUMORI,Original document,,VCR,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,VCRSEQORI,Source document sequence no.,,L,8.0,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,VCRTYPORI,Source document type,,M,15.0,701.0,,,
SDELIVERYD,SDD,Delivery detail,Sales,,VTC,Vertex transaction code,,A,1.0,,,,KUS
SDELIVERYD,SDD,Delivery detail,Sales,,VTS,Vertex transaction sub-type,,A,1.0,,,,KUS
SDELIVERYD,SDD,Delivery detail,Sales,,WEU,Weight unit,,UOM,,,[TUN]TUN0=[SDD]WEU,Block,
SDELIVERYD,SDD,Delivery detail,Sales,,WRH,Warehouse,,WRH,,,[WRH]WRH0=WRH,Other,WRH
SDELIVERYD,SDD,Delivery detail,Sales,,WRTQTY,Qty waiting return,,QTY,,,,,
SDELIVERYD,SDD,Delivery detail,Sales,,WRTQTYSTU,Qty wtg ret STK,,QTY,,,,,
SDELIVERYNO,SDN,Sales delivery notification,Sales,EDIX3,AUUID,Single identifier,,AUUID,,,,,
SDELIVERYNO,SDN,Sales delivery notification,Sales,EDIX3,BPAADD,Delivery address,,BPD,,,[BPD]BPD0=BPCORD;BPAADD,Block,
SDELIVERYNO,SDN,Sales delivery notification,Sales,EDIX3,BPCORD,Sold-to,,BPC,,,[BPC]BPC0=[SDN]BPCORD,Other,
SDELIVERYNO,SDN,Sales delivery notification,Sales,EDIX3,CPY,Company,,CPY,,,[CPY]CPY0=[SDN]CPY,RTZ,
SDELIVERYNO,SDN,Sales delivery notification,Sales,EDIX3,CREDATTIM,Date time,,ADATIM,,,,,
SDELIVERYNO,SDN,Sales delivery notification,Sales,EDIX3,CREUSR,User,,AUS,,,[AUS]CODUSR=[SDN]CREUSR,Other,
SDELIVERYNO,SDN,Sales delivery notification,Sales,EDIX3,FCY,Site,,FCY,,,[FCY]FCY0=[SDN]FCY,Delete,
SDELIVERYNO,SDN,Sales delivery notification,Sales,EDIX3,NOTDAT,Notification date,,D,,,,,
SDELIVERYNO,SDN,Sales delivery notification,Sales,EDIX3,RCPDAT,Receipt date,,D,,,,,
SDELIVERYNO,SDN,Sales delivery notification,Sales,EDIX3,SDHNUM,Delivery no.,,VCR,,,,,
SDELIVERYNO,SDN,Sales delivery notification,Sales,EDIX3,SDNKEY,Key,,A,10.0,,,,
SDELIVERYNO,SDN,Sales delivery notification,Sales,EDIX3,SDNNUM,Notification,,A,35.0,,,,
SDELIVERYNO,SDN,Sales delivery notification,Sales,EDIX3,SDNNUMREF,Reference,,A,35.0,,,,
SDELIVERYNO,SDN,Sales delivery notification,Sales,EDIX3,SOHNUM,Order no.,,VCR,,,,,
SDELIVERYNO,SDN,Sales delivery notification,Sales,EDIX3,UPDDATTIM,Date time,,ADATIM,,,,,
SDELIVERYNO,SDN,Sales delivery notification,Sales,EDIX3,UPDUSR,User,,AUS,,,[AUS]CODUSR=[SDN]UPDUSR,Other,
SDELIVERYNOD,SDND,Sales delivery notification,Sales,EDIX3,AUUID,Single identifier,,AUUID,,,,,
SDELIVERYNOD,SDND,Sales delivery notification,Sales,EDIX3,CREDATTIM,Date time,,ADATIM,,,,,
SDELIVERYNOD,SDND,Sales delivery notification,Sales,EDIX3,CREUSR,User,,AUS,,,[AUS]CODUSR=[SDND]CREUSR,Other,
SDELIVERYNOD,SDND,Sales delivery notification,Sales,EDIX3,ITMREF,Product,,ITM,,,[ITM]ITM0=[SDND]ITMREF,Block,
SDELIVERYNOD,SDND,Sales delivery notification,Sales,EDIX3,RCPDAT,Receipt date,,D,,,,,
SDELIVERYNOD,SDND,Sales delivery notification,Sales,EDIX3,RCPQTY,Quantity,,QTY,,,,,
SDELIVERYNOD,SDND,Sales delivery notification,Sales,EDIX3,RCPSAU,Sales unit,,UOM,,,[TUN]TUN0=[SDND]RCPSAU,Block,
SDELIVERYNOD,SDND,Sales delivery notification,Sales,EDIX3,SDDLIN,Delivery line,,L,8.0,,,,
SDELIVERYNOD,SDND,Sales delivery notification,Sales,EDIX3,SDHNUM,Delivery no.,,VCR,,,,,
SDELIVERYNOD,SDND,Sales delivery notification,Sales,EDIX3,SDNKEY,Key,,A,10.0,,,,
SDELIVERYNOD,SDND,Sales delivery notification,Sales,EDIX3,SDNLIN,Line,,L,8.0,,,,
SDELIVERYNOD,SDND,Sales delivery notification,Sales,EDIX3,SDNNUM,Notification,,A,20.0,,,,
SDELIVERYNOD,SDND,Sales delivery notification,Sales,EDIX3,SDNNUMREF,Reference,,A,35.0,,,,
SDELIVERYNOD,SDND,Sales delivery notification,Sales,EDIX3,SOHNUM,Order no.,,VCR,,,,,
SDELIVERYNOD,SDND,Sales delivery notification,Sales,EDIX3,UPDDATTIM,Date time,,ADATIM,,,,,
SDELIVERYNOD,SDND,Sales delivery notification,Sales,EDIX3,UPDUSR,User,,AUS,,,[AUS]CODUSR=[SDND]UPDUSR,Other,
SINCDET,SND,Line price review definition,Sales,,AUUID,Single identifier,,AUUID,,,,,
SINCDET,SND,Line price review definition,Sales,,COD,Code,,A,7.0,,,,
SINCDET,SND,Line price review definition,Sales,,CODLIN,Line,,L,8.0,,,,
SINCDET,SND,Line price review definition,Sales,,CODLINCAR,Line,,A,8.0,,,,
SINCDET,SND,Line price review definition,Sales,,CREDAT,Date created,,D,,,,,
SINCDET,SND,Line price review definition,Sales,,CREDATTIM,Date time,,ADATIM,,,,,
SINCDET,SND,Line price review definition,Sales,,CREUSR,Creation user,,A,5.0,,,,
SINCDET,SND,Line price review definition,Sales,,DELFLG,Deletion,,M,4.0,1.0,,,
SINCDET,SND,Line price review definition,Sales,,DESAXX,Description,,AX3,,,,,
SINCDET,SND,Line price review definition,Sales,,DESDET,,,A,30.0,,,,
SINCDET,SND,Line price review definition,Sales,,INCFLD,Field,12.0,A,10.0,,,,
SINCDET,SND,Line price review definition,Sales,,INCFLDUPD,Type,12.0,M,20.0,455.0,,,
SINCDET,SND,Line price review definition,Sales,,INCFRM,Value,12.0,AFR,80.0,,,,
SINCDET,SND,Line price review definition,Sales,,INCRND,Rounded value,12.0,DCB,3.4,,,,
SINCDET,SND,Line price review definition,Sales,,INCRNDTYP,Rounding,12.0,M,20.0,746.0,,,
SINCDET,SND,Line price review definition,Sales,,LANDESSHO,Descriptions,,A,60.0,,,,
SINCDET,SND,Line price review definition,Sales,,NBFRM,Number,,C,2.0,,,,
SINCDET,SND,Line price review definition,Sales,,SELFRM,Selection formula,,AFR,250.0,,,,
SINCDET,SND,Line price review definition,Sales,,UPDDAT,Change date,,D,,,,,
SINCDET,SND,Line price review definition,Sales,,UPDDATTIM,Date time,,ADATIM,,,,,
SINCDET,SND,Line price review definition,Sales,,UPDUSR,Change user,,A,5.0,,,,
SINCENT,SNE,Price update definition,Sales,,ACS,Access code,,ACS,,,[ACS]ACS0=[SNE]ACS,Block,
SINCENT,SNE,Price update definition,Sales,,AUUID,Single identifier,,AUUID,,,,,
SINCENT,SNE,Price update definition,Sales,,CHGTYP,Rate type,,M,15.0,202.0,,,
SINCENT,SNE,Price update definition,Sales,,COD,Code,,A,7.0,,,,
SINCENT,SNE,Price update definition,Sales,,CREDAT,Date created,,D,,,,,
SINCENT,SNE,Price update definition,Sales,,CREDATTIM,Date time,,ADATIM,,,,,
SINCENT,SNE,Price update definition,Sales,,CREUSR,Creation user,,A,5.0,,,,
SINCENT,SNE,Price update definition,Sales,,CURNEW,New currency,,CUR,,,[TCU]TCU0=[SNE]CURNEW,Block,
SINCENT,SNE,Price update definition,Sales,,CUROLD,Old currency,,CUR,,,[TCU]TCU0=[SNE]CUROLD,Block,
SINCENT,SNE,Price update definition,Sales,,DESAXX,Description,,AX3,,,,,
SINCENT,SNE,Price update definition,Sales,,EXPLNK,Link expression,10.0,AFR,60.0,,,,
SINCENT,SNE,Price update definition,Sales,,LANDESSHO,Descriptions,,A,60.0,,,,
SINCENT,SNE,Price update definition,Sales,,LASCHGTYP,Rate type,,M,15.0,202.0,,,
SINCENT,SNE,Price update definition,Sales,,LASCURNEW,New currency,,CUR,,,[TCU]TCU0=[SNE]LASCURNEW,Block,
SINCENT,SNE,Price update definition,Sales,,LASCUROLD,Old currency,,CUR,,,[TCU]TCU0=[SNE]LASCUROLD,Block,
SINCENT,SNE,Price update definition,Sales,,LASDATPRO,Last process,,D,,,,,
SINCENT,SNE,Price update definition,Sales,,LASENDCRD,Last price record,,VCR,,,,,
SINCENT,SNE,Price update definition,Sales,,LASENDDAT,Validity end date,,D,,,,,
SINCENT,SNE,Price update definition,Sales,,LASSTRCRD,First price record,,VCR,,,,,
SINCENT,SNE,Price update definition,Sales,,LASSTRDAT,Validity start date,,D,,,,,
SINCENT,SNE,Price update definition,Sales,,LASVLYDAT,Valid on,,D,,,,,
SINCENT,SNE,Price update definition,Sales,,NBTBL,Number of tables,,C,2.0,,,,
SINCENT,SNE,Price update definition,Sales,,NBVAR,Number,,C,2.0,,,,
SINCENT,SNE,Price update definition,Sales,,PLI,Price list code,,SPC,,,[SPC]SPC0=[SNE]PLI,Other,
SINCENT,SNE,Price update definition,Sales,,PLIENDCRD,Last price record,,VCR,,,,,
SINCENT,SNE,Price update definition,Sales,,PLIENDDAT,Validity end date,,D,,,,,
SINCENT,SNE,Price update definition,Sales,,PLISTC,Structure code,,PRS,,,[PRS]PRS0=1;PLISTC,Other,
SINCENT,SNE,Price update definition,Sales,,PLISTRCRD,First price record,,VCR,,,,,
SINCENT,SNE,Price update definition,Sales,,PLISTRDAT,Validity start date,,D,,,,,
SINCENT,SNE,Price update definition,Sales,,SNEENAFLG,Active,,M,4.0,1.0,,,
SINCENT,SNE,Price update definition,Sales,,TBL,Linked tables,10.0,ATB,,,[ATB]CODFIC=[SNE]TBL,Block,
SINCENT,SNE,Price update definition,Sales,,TYP,Type,,M,15.0,454.0,,,
SINCENT,SNE,Price update definition,Sales,,UPDCRDFLG,Changeable,,M,4.0,1.0,,,
SINCENT,SNE,Price update definition,Sales,,UPDDAT,Change date,,D,,,,,
SINCENT,SNE,Price update definition,Sales,,UPDDATFLG,Changeable,,M,4.0,1.0,,,
SINCENT,SNE,Price update definition,Sales,,UPDDATTIM,Date time,,ADATIM,,,,,
SINCENT,SNE,Price update definition,Sales,,UPDUSR,Change user,,A,5.0,,,,
SINCENT,SNE,Price update definition,Sales,,VARCOD,Variable,20.0,A,10.0,,,,
SINCENT,SNE,Price update definition,Sales,,VARCTL,Control table,20.0,ACL,,,[ACL]ACL0=[SNE]VARCTL,Block,
SINCENT,SNE,Price update definition,Sales,,VARDEF,Default value,20.0,AFR,30.0,,,,
SINCENT,SNE,Price update definition,Sales,,VARDES,Description,20.0,DES,,,,,
SINCENT,SNE,Price update definition,Sales,,VARDESAXX,Description,20.0,AX3,,,,,
SINCENT,SNE,Price update definition,Sales,,VARLAS,Last value,20.0,AFR,20.0,,,,
SINCENT,SNE,Price update definition,Sales,,VARLNG,Length,20.0,DCB,8.0,,,,
SINCENT,SNE,Price update definition,Sales,,VARTYP,Type,20.0,ATY,,,[ATY]CODTYP=[SNE]VARTYP,Block,
SINCENT,SNE,Price update definition,Sales,,VLYDAT,Valid on,,D,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,ALLTYP,Allocation type,,M,15.0,294.0,,,
SINVOICED,SID,Sales invoice detail,Sales,,AMTATILIN,Amount + tax,,MD1,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,AMTDEPLIN,Discount amount,,MD1,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,AMTLIN,Line amount,,MD1,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,AMTNOTLIN,Amount - tax,,MD1,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,AMTTAXLIN,Tax amount,3.0,MD1,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,AUUID,Single identifier,,AUUID,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,BASTAXLIN,Taxable amount,6.0,MD1,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,BPCINV,Bill-to customer,,BPC,,,[BPC]BPC0=[SID]BPCINV,Other,
SINVOICED,SID,Sales invoice detail,Sales,,CLCAMT1,Tax calculation basis 1,,MD1,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,CLCAMT2,Tax calculation basis 2,,MD1,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,CONNUM,Service contract no.,,VCR,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,CPRPRI,Cost price,,MD8,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,CPY,Company,,CPY,,,[CPY]CPY0=[SID]CPY,Block,
SINVOICED,SID,Sales invoice detail,Sales,,CREDAT,Date created,,D,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,CREDATTIM,Date time,,ADATIM,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,CREUSR,Creation user,,A,5.0,,,,
SINVOICED,SID,Sales invoice detail,Sales,,DDTADEP,Invoice line allocation elemen,,MD1,,,,,SFL
SINVOICED,SID,Sales invoice detail,Sales,,DDTANOT,Invoice line allocation elemen,,MD1,,,,,SFL
SINVOICED,SID,Sales invoice detail,Sales,,DDTANUM,Invoice line allocation elemen,,SFI,,,[SFI]SFI0=[SID]DDTANUM,Block,SFL
SINVOICED,SID,Sales invoice detail,Sales,,DISCRGREN1,Discount 1 reason,,SPR,,,[SPR]SPR0=[SID]DISCRGREN1,Block,SP1
SINVOICED,SID,Sales invoice detail,Sales,,DISCRGREN2,Discount 2 reason,,SPR,,,[SPR]SPR0=[SID]DISCRGREN2,Block,SP2
SINVOICED,SID,Sales invoice detail,Sales,,DISCRGREN3,Discount 3 reason,,SPR,,,[SPR]SPR0=[SID]DISCRGREN3,Block,SP3
SINVOICED,SID,Sales invoice detail,Sales,,DISCRGREN4,Discount 4 reason,,C,4.0,,,,SP4
SINVOICED,SID,Sales invoice detail,Sales,,DISCRGREN5,Discount 5 reason,,C,4.0,,,,SP5
SINVOICED,SID,Sales invoice detail,Sales,,DISCRGREN6,Discount 6 reason,,C,4.0,,,,SP6
SINVOICED,SID,Sales invoice detail,Sales,,DISCRGREN7,Discount 7 reason,,C,4.0,,,,SP7
SINVOICED,SID,Sales invoice detail,Sales,,DISCRGREN8,Discount 8 reason,,C,4.0,,,,SP8
SINVOICED,SID,Sales invoice detail,Sales,,DISCRGREN9,Discount 9 reason,,C,4.0,,,,SP9
SINVOICED,SID,Sales invoice detail,Sales,,DISCRGVAL1,Discount/Charge 1,,MD8,,,,,SP1
SINVOICED,SID,Sales invoice detail,Sales,,DISCRGVAL2,Discount/Charge 2,,MD8,,,,,SP2
SINVOICED,SID,Sales invoice detail,Sales,,DISCRGVAL3,Discount/Charge 3,,MD8,,,,,SP3
SINVOICED,SID,Sales invoice detail,Sales,,DISCRGVAL4,Discount/Charge 4,,DCB,19.8,,,,SP4
SINVOICED,SID,Sales invoice detail,Sales,,DISCRGVAL5,Discount/Charge 5,,DCB,19.8,,,,SP5
SINVOICED,SID,Sales invoice detail,Sales,,DISCRGVAL6,Discount/Charge 6,,DCB,19.8,,,,SP6
SINVOICED,SID,Sales invoice detail,Sales,,DISCRGVAL7,Discount/Charge 7,,DCB,19.8,,,,SP7
SINVOICED,SID,Sales invoice detail,Sales,,DISCRGVAL8,Discount/Charge 8,,DCB,19.8,,,,SP8
SINVOICED,SID,Sales invoice detail,Sales,,DISCRGVAL9,Discount/Charge 9,,DCB,19.8,,,,SP9
SINVOICED,SID,Sales invoice detail,Sales,,DSPLINFLG,Distribution,,M,4.0,1.0,,,
SINVOICED,SID,Sales invoice detail,Sales,,DSPLINVOL,Line volume,,QTY,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,DSPLINWEI,Line weight,,QTY,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,DSPVOU,Volume unit,,UOM,,,[TUN]TUN0=[SID]DSPVOU,Block,
SINVOICED,SID,Sales invoice detail,Sales,,DSPWEU,Weight unit,,UOM,,,[TUN]TUN0=[SID]DSPWEU,Block,
SINVOICED,SID,Sales invoice detail,Sales,,ECCVALMAJ,Major version,,ECS,,,,,ECC
SINVOICED,SID,Sales invoice detail,Sales,,ECCVALMIN,Minor version,,EVL,,,,,ECC
SINVOICED,SID,Sales invoice detail,Sales,,EECFLOPHY,Physical flow,,M,4.0,1.0,,,DEB
SINVOICED,SID,Sales invoice detail,Sales,,ENDDAT,End date,,D,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,EXPNUM,Export number,,L,8.0,,,,
SINVOICED,SID,Sales invoice detail,Sales,,FOCFLG,Free,,M,10.0,439.0,,,
SINVOICED,SID,Sales invoice detail,Sales,,GEOCOD,Geographic code,,GEO,,,,,KUS
SINVOICED,SID,Sales invoice detail,Sales,,GROPRI,Gross price,,MD8,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,IMPNUMLIG,Import line,,L,8.0,,,,
SINVOICED,SID,Sales invoice detail,Sales,,INSCTYFLG,City interior flag,,A,1.0,,,,KUS
SINVOICED,SID,Sales invoice detail,Sales,,INVCNDUPD,Reinvoicing,,M,4.0,1.0,,,
SINVOICED,SID,Sales invoice detail,Sales,,INVDAT,Invoice date,,D,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,INVPRC,Percentage,,DCB,3.4,,,,
SINVOICED,SID,Sales invoice detail,Sales,,INVPRNBOM,Print component on invoice,,M,4.0,1.0,,,
SINVOICED,SID,Sales invoice detail,Sales,,ITMDES,Description,,DES,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,ITMDES1,Description,,DES,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,ITMREF,Product,,ITM,,,[ITM]ITM0=[SID]ITMREF,Block,
SINVOICED,SID,Sales invoice detail,Sales,,LINEECFLG,Debit line,,M,4.0,1.0,,,DEB
SINVOICED,SID,Sales invoice detail,Sales,,LINTYP,Line type,,M,15.0,423.0,,,
SINVOICED,SID,Sales invoice detail,Sales,,LOC,Location filter,,LOC,,,[STC]STC0=STOFCY;LOC,Block,
SINVOICED,SID,Sales invoice detail,Sales,,LOT,Filter lot,,LOT,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,NETPRI,Net price,,MD8,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,NETPRIATI,Net price + tax,,MD8,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,NETPRINOT,Net price - tax,,MD8,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,NEXINVDAT,Reinvoicing date,,D,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,NUM,Invoice no.,,VCR,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,ORILIN,Free line source,,L,8.0,,,,
SINVOICED,SID,Sales invoice detail,Sales,,PERNBR,Periodicity,,C,4.0,,,,
SINVOICED,SID,Sales invoice detail,Sales,,PERTYP,Periodicity,,M,15.0,635.0,,,
SINVOICED,SID,Sales invoice detail,Sales,,PFM,Margin,,MD1,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,PIDLIN,Purch invoice line,,L,8.0,,,,
SINVOICED,SID,Sales invoice detail,Sales,,PITFLG,Points management,,QTY,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,PJT,Project,,PJT,,,[PIM]PIM0=PJT,Block,
SINVOICED,SID,Sales invoice detail,Sales,,PRIORD,Order price,,MD5,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,PRIREN,Price reason,,SPR,,,[SPR]SPR0=[SID]PRIREN,Block,
SINVOICED,SID,Sales invoice detail,Sales,,QTY,Invoiced qty.,,QTY,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,QTYSTU,Invoiced STU,,QTY,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,RATTAXLIN,Tax rates,,RAT,,,,,
SINVOICED,SID,Sales invoice detail,Sales,,REP1,Sales rep 1,,REP,,,[REP]REP0=[SID]REP1,Block,RE1
SINVOICED,SID,Sales invoice detail,Sales,,REP2,Sales rep 2,,REP,,,[REP]REP0=[SID]REP2,Block,RE2
SINVOICED,SID,Sales invoice detail,Sales,,REPAMT1,Commission amount 1,,MD1,,,,,RE1
SINVOICED,SID,Sales invoice detail,Sales,,REPAMT2,Commission amount 2,,MD1,,,,,RE2
SINVOICED,SID,Sales invoice detail,Sales,,REPBAS1,Commission base 1,,MD1,,,,,RE1
