Table,Abbreviation,Description,Module,Activity code,TablesMappedToModelOnly,TablesMappedToSubModel,linkedTablewithDescription
CFGOPTVAR,COV,Options / variants,Stock,CFG,,,"ITMMASTER  (Products  ) , CFGSEL  (Configurator selections  )"
PWRKSTT,PWS,Subcontract,Purchasing,,,,"ATABDIV  (Miscellaneous tables  ) , TABUNIT  (Table of units of measure  ) , GAUTACE  (Automatic journals  ) , ITMMASTER  (Products  )"
SHIPMENTD,SHD,Shipment detail,Purchasing,,,,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  )"
CFGSCELIN,CSL,Configurator scenario lines,Stock,CFG,,,"ITMMASTER  (Products  ) , CFGSCE  (Configurator scenarios  ) , CFGQST  (Configurator symbols  )"
CUNSESSION,CUN,Stock count session,Stock,,,,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , BPARTNER  (Business partner  ) , TABFOR  (Formula table  ) , ITMMASTER  (Products  ) , STOLOC  (Locations  ) , TABLOCTYP  (Location type table  ) , ITMCATEG  (Product category  )"
CFGSHA,CSH,Shapes and patterns,Stock,CFG,,,CFGQST  (Configurator symbols  )
PARSTOACC,PAS,Stock interface setup,Stock,,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  )"
SCHGH,SGH,Stock change header,Stock,,Sales,Sales Invoice,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , WAREHOUSE  (Warehouses  ) , BPARTNER  (Business partner  ) , PIMPL  (  ) , GAUTACE  (Automatic journals  ) , STOLOC  (Locations  ) , LPN  (  ) , TABSGHTYP  (Stock change type  )"
SLOTMH,SLH,Lot modification header,Stock,,,,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , PIMPL  (  ) , ITMMASTER  (Products  )"
SMVTH,SMH,Movement header,Stock,,,,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , WAREHOUSE  (Warehouses  ) , PIMPL  (  ) , GAUTACE  (Automatic journals  )"
CFOTYP,CFOT,Cash forecast types,A/P-A/R accounting,CFOM,,,"COMPANY  (Company  ) , FACILITY  (Sites  )"
STOJOU,STJ,Stock journal,Stock,,"Manufacturing,Purchasing,Sales,Stock","Manufacturing Tracking,Purchase Receipts,Purchase Returns,Sales Deliveries,Sales Invoice,Sales Returns,Stock","ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , AREPORT  (Report dictionary  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , WAREHOUSE  (Warehouses  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , GTYPACCENT  (Document types  ) , PIMPL  (  ) , GAUTACE  (Automatic journals  ) , ITMMASTER  (Products  ) , STOLOC  (Locations  ) , LPN  (  )"
CHQBOK,CHB,Checks table,A/P-A/R accounting,CHQ,,,"FACILITY  (Sites  ) , BANK  (Bank accounts  )"
STOPREH,PRH,Pick ticket header,Stock,,Sales,"Normal Sales Orders,Sales Deliveries","ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , BPCARRIER  (Carriers  ) , BPDLVCUST  (Ship-to customer  ) , TABSDHTYP  (Table types deliveries  )"
CHQNUM,CHN,Table of cheques,A/P-A/R accounting,CHQ,,,BANK  (Bank accounts  )
STOQLYH,QLH,Quality control header,Stock,,Stock,Stock,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , QLYCRD  (Technical sheets  )"
CIGDEF,CIG,IGS definition,Fixed Assets,CIG,,,
STOVALCUM,SVC,Valuated stock totals report,Stock,,,,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  )"
CIGFXDSOR,CIB,IGS adjustment : issued assets,Fixed Assets,CIG,,,
CIGREX,CIR,IGS parametern,Fixed Assets,CIG,,,
CIGREXSEL,CIS,IGS asset selection,Fixed Assets,CIG,,,
HANDLING,HSH,Stock process instruction,Manufacturing,MWM,,,"ATABDIV  (Miscellaneous tables  ) , SENTENCES  (Safety risk sentences  )"
CMARKETING,CMG,Marketing campaign,CRM activities,,Customer relation,Marketing,
MFGHEADTRK,MTK,Manufacture tracking - header,Manufacturing,,Manufacturing,Manufacturing Tracking,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , GAUTACE  (Automatic journals  )"
COFAWRK,CAW,Certificate of analysis,Sales,,,,ITMMASTER  (Products  )
MFGITM,MFI,Work orders - products,Manufacturing,,"Manufacturing,Sales","Manufacturing Orders,Manufacturing Tracking,Production Cost Calculation,Normal Sales Orders,Sales Deliveries","ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , TABBOMALT  (BOM codes  ) , ITMCATEG  (Product category  )"
MTKCRDASW,MTA,Technical sheets - responses,Manufacturing,,Manufacturing,Manufacturing Tracking,"ATABDIV  (Miscellaneous tables  ) , QLYCRD  (Technical sheets  ) , QLYCRDQST  (Quality records - questions  )"
COMREP,COM,Sales rep commissions,Common Data,KIT,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , SALESREP  (Sales rep  )"
MWMCRDASW,MWA,Booth procedures - Responses,Manufacturing,MWM,,,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , ITMMASTER  (Products  ) , QLYCRD  (Technical sheets  ) , QLYCRDQST  (Quality records - questions  ) , STATION  (Weighing location  )"
CONCESSION,CCN,Concession,Fixed Assets,CCN,,,
PARWIPACC,PWA,Wipcost-interface parameter,Manufacturing,,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  )"
SCALES,SLE,Weighing scales,Manufacturing,MWM,,,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , AREPORT  (Report dictionary  ) , TABUNIT  (Table of units of measure  ) , CALIGUIDES  (Calibration guides  ) , USERGUIDES  (User guides  ) , MODSCALE  (Weighing scale templates  )"
CONTAINER,CTRH,Container,Purchasing,,,,"TABCUR  (Currency table  ) , FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , BPSUPPLIER  (Suppliers  ) , TABCONTAINER  (Freight container  )"
CONTAINERD,CTRD,Container detail,Purchasing,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , INCOTERM  (Incoterms  )"
CONTCARE,CCA,Maintenance plan,Common Data,,,,ATABDIV  (Miscellaneous tables  )
CONTAINERS,CTN,Containers,Manufacturing,MWM,,,"TABUNIT  (Table of units of measure  ) , USERGUIDES  (User guides  )"
CONTIDX,CIX,Index values,Common Data,,,,ATABDIV  (Miscellaneous tables  )
CONTAMT,CAM,Annual databases,Common Data,,,,CONTSERV  (Service contract  )
CONTQUAL,CQL,Quality constraints,Common Data,,Customer relation,Service contract,ATABDIV  (Miscellaneous tables  )
CONTAMTX,CAX,Annual databases,Common Data,,,,CONTSERV  (Service contract  )
CONTSERV,CON,Service contract,Common Data,,"Customer relation,Sales","Service request,Service contract,Service response,Normal Sales Orders,Sales Invoice","ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , SFOOTINV  (Invoicing elements  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , TABPAYTERM  (Payment term table  ) , ITMMASTER  (Products  ) , SINVOICEV  (Costing sales invoice  ) , SALESREP  (Sales rep  ) , SORDER  (Sales orders - header  )"
CONTSERVX,COX,Service contract,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , TABVACBPR  (BP tax rule table  ) , TABPAYTERM  (Payment term table  ) , ITMMASTER  (Products  ) , OPPOR  (Project  ) , SINVOICEV  (Costing sales invoice  ) , SALESREP  (Sales rep  ) , SORDER  (Sales orders - header  )"
CONTCOV,CCV,Service contracts coverage,Common Data,,Customer relation,Service contract,"BPARTNER  (Business partner  ) , CONTSERV  (Service contract  )"
CONTTEMPL,COT,Service contract template,Common Data,,"Common data,Customer relation","Item,Service contract","ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , TABPAYTERM  (Payment term table  )"
CONTEXT,CNX,Contexts,Fixed Assets,,Fixed assets,Fixed Asset,
EDIFLOD,EFLD,Flow detail,Common Data,EDIX3,,,"ATABDIV  (Miscellaneous tables  ) , EDICAT  (EDI category  )"
EDISEQFILD,ESFD,Sequential file detail,Common Data,EDIX3,,,ATABDIV  (Miscellaneous tables  )
CONTITM,CIT,Covered product,Common Data,,,,CONTSERV  (Service contract  )
EDISEQFILF,ESFF,Sequential files,Common Data,EDIX3,,,ATABDIV  (Miscellaneous tables  )
CONTPBL,CPL,Skills covered,Common Data,,,,"CONTSERV  (Service contract  ) , FAMPB  (Skill group  )"
EDISTOF,ESTF,Flow detail,Common Data,EDIX3,,,ATABDIV  (Miscellaneous tables  )
CONTREW,CRE,Contract renewals,Common Data,,,,CONTSERV  (Service contract  )
CONTREWX,CRX,Contract renewals,Common Data,,,,CONTSERV  (Service contract  )
ESCSRE,ECE,Escalation history,Common Data,,Customer relation,Service request,"ATABDIV  (Miscellaneous tables  ) , SERREQUEST  (Service requests  )"
FRTCLS,FRT,Freight class,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , FRTCLS  (Freight class  )"
CORREP,COP,Representative in charge,CRM activities,,,,
GACCCLS,CLS,Account classes,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , GACCCLS  (Account classes  )"
CORRESPOND,COR,Outlook contact,CRM activities,,Customer relation,"Customer relations 1,Customer relations 2",
GACCDUDATE,DUD,Open items,Common Data,,"Accounting,Purchasing,Sales","Accounting Entry,Payment,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Invoice,Normal Sales Orders,Cumulative Sales Orders,Sales Invoice","ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  ) , TABVAT  (Tax code table  ) , MANDATE  (Mandates  ) , TABPAM  (Payment mode table  ) , FACTOR  (Factors  ) , TABDEPAGIO  (Early discount/late charge table  )"
COSTSTCB,STCB,Cost structure - schedules,Common Data,,,,"TABCUR  (Currency table  ) , TABUNIT  (Table of units of measure  )"
GACCTMP,HAT,Accounting entries,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , GTYPACCENT  (Document types  ) , GLED  (Ledger  ) , GJOURNAL  (Journal codes  ) , PIMPL  (  )"
COSTSTCD,STCD,Cost structure - documents,Purchasing,,,,"TABCUR  (Currency table  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , TABUNIT  (Table of units of measure  ) , TABFOR  (Formula table  ) , FRECST  (Cost  )"
GACCTMPD,DAT,Accounting entry lines,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GTYPACCENT  (Document types  ) , GLED  (Ledger  ) , TABVAT  (Tax code table  ) , PIMPL  (  ) , CADSP  (Analytical allocations  ) , PJMCOSTCTR  (  )"
COSTSTCF,STCF,Cost structure - site,Common Data,,,,ITMMASTER  (Products  )
GACM,GCM,Account core model,Common Data,,Accounting,"Accounting Entry,Accounting Entry By Lot,Accounting Data","ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , GACM  (Account core model  ) , GLED  (Ledger  )"
COSTSTCH,STCH,Cost structure,Common Data,,,,
COSTSTCL,STCL,Cost structure - lines,Common Data,,,,"TABCUR  (Currency table  ) , TABUNIT  (Table of units of measure  ) , TABFOR  (Formula table  ) , FRECST  (Cost  )"
GCACCOA,GCO,Acct. code entry transactions,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , GCOA  (Chart of accounts  ) , GCACCOA  (Acct. code entry transactions  )"
COSTSTCR,STCR,Cost matching,Purchasing,,,,"TABCUR  (Currency table  ) , ITMMASTER  (Products  ) , FRECST  (Cost  )"
GLED,LED,Ledger,Common Data,,"Accounting,Sales","Accounting Entry,Accounting Entry By Lot,Sales Invoice","ATABDIV  (Miscellaneous tables  ) , GDIE  (Dimension types  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  )"
CPTANALIN,CAL,Analytical accounting lines,Common Data,,"Purchasing,Sales","Purchase Requests,Request For Quotations,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Receipts,Purchase Returns,Purchase Invoice,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice","TABCUR  (Currency table  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  ) , CADSP  (Analytical allocations  )"
HISTOMDT,HMDT,Payments made,Common Data,SDD,,,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , MANDATE  (Mandates  )"
CPTFOOTLNK,CFL,Analytical accounting lines,Common Data,,,,"TABCUR  (Currency table  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  ) , CADSP  (Analytical allocations  )"
ITMCATEG,ITG,Product category,Common Data,,"Common data,Stock","Item,Stock","ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  ) , FACILITY  (Sites  ) , AREPORT  (Report dictionary  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , TABUNIT  (Table of units of measure  ) , PJMCOSTCTR  (  ) , TABPACKAGE  (Packaging table  ) , TABVACITM  (Tax level table  ) , TABINVCND  (  ) , MATCHTOL  (Matching tolerance  ) , TABLINCFG  (Product lines  ) , QLYCRD  (Technical sheets  ) , TABCOSTMET  (Valuation methods  ) , OVERHEAD  (Overhead codes  ) , FRTCLS  (Freight class  ) , FRTCOMCOD  (Freight commodity code  ) , TABALLRUL  (Allocation and issue rules  ) , ITMCPTVER  (Version counter setup  ) , PARMTO  (Assignment rules  ) , TABREOPOL  (Reorder policies table  ) , SEASON  (Trend profiles  )"
CRMCLOB,CRC,CRM text file,CRM activities,,,,
ITMCOMP,ICM,Competitor products,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  )"
CRMTRS,CTR,Entry transaction CRM,CRM activities,,,,
ITMFACILIT,ITF,Products-sites,Common Data,,"Common data,Manufacturing,Purchasing","Item,Manufacturing Orders,Master Planning Schedule,Production Cost Calculation,Standard Cost Calculation,Normal Purchase Orders,External Orders","ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , TABPACKAGE  (Packaging table  ) , TABCONTAINER  (Freight container  ) , TABROUALT  (BOM routings  ) , QLYCRD  (Technical sheets  ) , TABCOSTMET  (Valuation methods  ) , OVERHEAD  (Overhead codes  ) , FRTCLS  (Freight class  ) , FRTCOMCOD  (Freight commodity code  ) , TABREOPOL  (Reorder policies table  ) , SEASON  (Trend profiles  )"
CRMTRSVAL,CTV,CRM values entry transaction,CRM activities,,,,
MACHINES,MAC,Installed base,Common Data,,Customer relation,"Service request,Service response,Installed Base","ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , ITMMASTER  (Products  )"
CSFPARH,CWH,Header extraction parameters,Financials,CSFLO,,,
MEDIA,OMN,Media campaign,Common Data,,Customer relation,Marketing,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CMARKETING  (Marketing campaign  )"
CSFPARL,CWL,Line extraction parameters,Financials,CSFLO,,,
CSFRES,CWR,Extraction result,Financials,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  )"
CSFRESD,CSRD,Cash flow analysis,Financials,CSFLO,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GTYPACCENT  (Document types  )"
OPPOR,OPP,Project,Common Data,,Customer relation,"Service request,Service contract,Customer relations 1,Customer relations 2","ATABDIV  (Miscellaneous tables  ) , AOBJET  (Basic objects  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , SALESREP  (Sales rep  ) , CMARKETING  (Marketing campaign  )"
CSFRESH,CSRH,Cash flow analysis,Financials,CSFLO,,,"COMPANY  (Company  ) , FACILITY  (Sites  )"
CSFRESL,CSRL,Cash flow analysis,Financials,CSFLO,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  )"
CTRLNIVW,CNW,Lev. control workbench,Common Data,,,,"ITMMASTER  (Products  ) , TABBOMALT  (BOM codes  )"
CUNLISDET,CUD,Counts,Stock,,,,"TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , WAREHOUSE  (Warehouses  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , STOLOC  (Locations  ) , LPN  (  )"
CUNLISTE,CUL,Count worksheets,Stock,,,,"FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , WAREHOUSE  (Warehouses  )"
DADCPY,DCP,DASD company,Financials,DAS,,,COMPANY  (Company  )
PARESC,PEC,Escalation parameter,Common Data,,,,ATABDIV  (Miscellaneous tables  )
PBDBPGRP,PBDBPG,Economic reason/BP groups,Common Data,,,,ATABDIV  (Miscellaneous tables  )
DATEVBPACC,DTB,DATEV BP assignment,Financials,KDE,,,BPARTNER  (Business partner  )
PBDBPGRPD,PBDBPD,Economic reason/BP groups,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , PBDECOCOD  (Economic reason code  )"
DATEVCHRONO,DTC,,Financials,KDE,,,
PBDECOCOD,PBDECO,Economic reason code,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , PBDECOCOD  (Economic reason code  )"
DATEVGLACC,DTA,DATEV G/L account assignment,Financials,KDE,,,"GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  )"
DCLCUSVATBED,DLCBD,Annual customer listing,Financials,KBE,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  ) , TABVAT  (Tax code table  )"
DCLVAT,DLV,Tax declaration on the debits,Financials,,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , TABVAT  (Tax code table  )"
DCLVATBEL,DLVB,Belgian VAT header,Financials,KBE,,,
DCLVATBELD,DLVBD,VAT detail,Supervisor,,,,
DCLVATITA,DVI,Italian VAT detail declaration,Financials,KIT,,,"ACODNUM  (Doc sequence numbers  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GTYPACCENT  (Document types  ) , TABVAT  (Tax code table  ) , GJOURNAL  (Journal codes  )"
DCLVATITA2,DV2,Italian VAT total declaration,Financials,KIT,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , TABVAT  (Tax code table  )"
DCLVATITA3,DV3,Annual italian VAT declaration,Financials,KIT,,,"COMPANY  (Company  ) , FACILITY  (Sites  )"
DCLVATPAY,DVP,Tax declaration / collection,Financials,,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , TABVAT  (Tax code table  )"
DCLVATPORF,DVPF,VAT declaration fields,Financials,KPO,,,
DCLVATPORP,DVPP,VAT parameters,Financials,KPO,,,COMPANY  (Company  )
DCLVATPORT,DVPT,Taxes,Financials,KPO,,,"COMPANY  (Company  ) , TABVAT  (Tax code table  )"
PRESTCOV,PCO,Covered services,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , CONTSERV  (Service contract  ) , MACHINES  (Installed base  )"
DEBPAR,DER,Intrastat computation parameters,Common Data,DEB,,,"TABCUR  (Currency table  ) , COMPANY  (Company  )"
PYRAPAR,PYRA,HRMS payroll NA setup,Common Data,PYRA,,,"ATABDIV  (Miscellaneous tables  ) , AOBJEXT  (Import/export templates  ) , GTYPACCENT  (Document types  ) , GJOURNAL  (Journal codes  ) , GDIAENTRY  (Entry transactions  )"
QLYCRDASW,QLA,Quality records - responses,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , ITMMASTER  (Products  ) , QLYCRD  (Technical sheets  ) , QLYCRDQST  (Quality records - questions  )"
DEFVAL,DVA,Complex default values,Common Data,,,,
QLYCRDQST,QLQ,Quality records - questions,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , TABUNIT  (Table of units of measure  ) , TABFOR  (Formula table  ) , TABCTL  (Response table  ) , QLYCRD  (Technical sheets  )"
DEPREC,DEP,Charge,Fixed Assets,,,,
QLYWRK,QLW,Work file - responses,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , QLYCRD  (Technical sheets  ) , QLYCRDQST  (Quality records - questions  )"
DEPRECARC,DEA,Charge archive,Fixed Assets,,,,
REPSEC,RSE,Secondary marketing contacts,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , BPARTNER  (Business partner  ) , SALESREP  (Sales rep  )"
DEPSIMU,DPS,Charge,Fixed Assets,,,,
RITENZIONE,RTZ,Table of withholding codes,Common Data,,Purchasing,Purchase Invoice,"ATABDIV  (Miscellaneous tables  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , RITENZIONE  (Table of withholding codes  )"
DIAHOU,DIH,Time table schemas,Common Data,,,,
SEAUTH,SEU,Credit card authorizations,Common Data,SEPP,,,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , BPARTNER  (Business partner  ) , SEPRC  (Payment gateway setup  )"
DIETRS,DTR,Analytical entry transaction,Common Data,,,,GDIE  (Dimension types  )
SERREQUEST,SRE,Service requests,Common Data,,"Customer relation,Sales","Service request,Service response,Sales Invoice","ATABDIV  (Miscellaneous tables  ) , AOBJET  (Basic objects  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , SFOOTINV  (Invoicing elements  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , TABPAYTERM  (Payment term table  ) , GAUTACE  (Automatic journals  ) , TABDEPAGIO  (Early discount/late charge table  ) , SALESREP  (Sales rep  ) , CONTSERV  (Service contract  ) , FAMPB  (Skill group  ) , MACHINES  (Installed base  ) , SOLUTION  (Solutions  )"
DIETRSXX,DTX,Analytical entry transaction,Common Data,,,,GDIE  (Dimension types  )
SFANAPAR,SFA,Sage fixed assets NA setup,Common Data,FASNA,,,"ATABDIV  (Miscellaneous tables  ) , AOBJEXT  (Import/export templates  ) , GTYPACCENT  (Document types  ) , GJOURNAL  (Journal codes  ) , GDIAENTRY  (Entry transactions  )"
DKSDATA,DKD,Electronic signatures,Common Data,DKS,,,"ACODNUM  (Doc sequence numbers  ) , COMPANY  (Company  )"
SFOOTINV,SFI,Invoicing elements,Common Data,,Sales,Sales Price,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , SFOOTINV  (Invoicing elements  ) , CADSP  (Analytical allocations  ) , ITMMASTER  (Products  ) , TABVACITM  (Tax level table  )"
DKSDATAFRA,DKF,Electronic signatures,Common Data,DSFR,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GJOURNAL  (Journal codes  )"
DKSJAV,DKJ,Connection parameters,Common Data,DKS,,,
DKSKEY,DKK,Key management,Common Data,,,,ACODNUM  (Doc sequence numbers  )
DKSLOG,DKL,Signature log,Common Data,DKS,,,
DOOBPCINT,DBI,Internal customers,Common Data,,,,BPARTNER  (Business partner  )
DOOBPCLNK,DBL,Order-giver association,Help-Desk,,,,
SRETEMPL,SET,Service request model,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , FAMPB  (Skill group  ) , MACHINES  (Installed base  )"
DPRMOD,DPM,Depreciation methods,Fixed Assets,,,,
STOQLYSMP,SMP,Qual. control sampling,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  )"
DPRMODOPT,DMO,Depreciation method option,Fixed Assets,,,,
SUBCONT,PRX,Service supplier,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , BPARTNER  (Business partner  ) , TABPAYTERM  (Payment term table  )"
DPRMODRAT,DMR,Depreciation method rate,Fixed Assets,,,,
TABCODEDT,TED,Report code table,A/P-A/R accounting,,,,"ATABDIV  (Miscellaneous tables  ) , TABCODEDT  (Report code table  )"
DUDLNK,DLN,Open item links,Financials,KIT,,,"COMPANY  (Company  ) , BPARTNER  (Business partner  )"
TABCOSTMVT,TVM,Movement values,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , TABCOSTMET  (Valuation methods  )"
ECCNEND,E52,Evt - concession end,Fixed Assets,CCN,,,
TABDEPAGIO,TDA,Early discount/late charge table,Common Data,,"Accounting,Purchasing,Sales","Accounting Entry,Purchase Invoice,Quotation,Normal Sales Orders,Sales Invoice","ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , SFOOTINV  (Invoicing elements  ) , TABDEPAGIO  (Early discount/late charge table  ) , PFOOTINV  (Purchase invoicing elements  )"
ECCNREV,E51,Evt - concession add. clause,Fixed Assets,CCN,,,
TABEECNAT,TEC,Intrastat transaction nature table,Common Data,DEB,,,"ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , TABEECNAT  (Intrastat transaction nature table  )"
ECCSTA,ECS,Major version statuses,Common Data,,,,ITMMASTER  (Products  )
TABEECSCH,TSC,Statistical rule table,Common Data,DEB,,,"ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , TABEECSCH  (Statistical rule table  )"
